T1,T2,T3,T4
1.755883178,1.755883178,1.755883178,1.755883178
1.586354306,1.586354306,1.586354306,1.586354306
1.577321575,1.577321575,1.577321575,1.577321575
1.569369455,1.569369455,1.569369455,1.569369455
1.592048912,1.592048912,1.592048912,1.592048912
1.51431714,1.51431714,1.51431714,1.51431714
1.417498141,1.417498141,1.417498141,1.417498141
1.494434166,1.494434166,1.494434166,1.494434166
1.539282196,1.539282196,1.539282196,1.539282196
1.608617834,1.608617834,1.608617834,1.608617834
1.545858142,1.545858142,1.545858142,1.545858142
1.66514529,1.66514529,1.66514529,1.66514529
2.007676235,2.007676235,2.007676235,2.007676235
2.508881797,2.508881797,2.508881797,2.508881797
2.347714286,2.347714286,2.347714286,2.347714286
2.08992036,2.08992036,2.08992036,2.08992036
2.129985885,2.129985885,2.129985885,2.129985885
2.20986283,2.20986283,2.20986283,2.20986283
2.21170709,2.21170709,2.21170709,2.21170709
2.202322626,2.202322626,2.202322626,2.202322626
2.119526159,2.119526159,2.119526159,2.119526159
2.200791314,2.200791314,2.200791314,2.200791314
2.468155602,2.468155602,2.468155602,2.468155602
2.044598894,2.044598894,2.044598894,2.044598894
1.854111786,1.854111786,1.854111786,1.854111786
1.625632108,1.625632108,1.625632108,1.625632108
1.606671932,1.606671932,1.606671932,1.606671932
1.594525758,1.594525758,1.594525758,1.594525758
1.597788989,1.597788989,1.597788989,1.597788989
1.453370948,1.453370948,1.453370948,1.453370948
1.300210391,1.300210391,1.300210391,1.300210391
1.508330983,1.508330983,1.508330983,1.508330983
1.680293905,1.680293905,1.680293905,1.680293905
1.857690641,1.857690641,1.857690641,1.857690641
1.995400334,1.995400334,1.995400334,1.995400334
2.107358586,2.107358586,2.107358586,2.107358586
2.527431394,2.527431394,2.527431394,2.527431394
3.107469399,3.107469399,3.107469399,3.107469399
2.766468427,2.766468427,2.766468427,2.766468427
2.367993128,2.367993128,2.367993128,2.367993128
2.317120156,2.317120156,2.317120156,2.317120156
2.369798604,2.369798604,2.369798604,2.369798604
2.331590714,2.331590714,2.331590714,2.331590714
2.285746328,2.285746328,2.285746328,2.285746328
2.202142078,2.202142078,2.202142078,2.202142078
2.26269909,2.26269909,2.26269909,2.26269909
2.57062641,2.57062641,2.57062641,2.57062641
2.23568114,2.23568114,2.23568114,2.23568114
1.949367376,1.949367376,1.949367376,1.949367376
1.720864963,1.720864963,1.720864963,1.720864963
1.677457301,1.677457301,1.677457301,1.677457301
1.61616205,1.61616205,1.61616205,1.61616205
1.557770273,1.557770273,1.557770273,1.557770273
1.406348322,1.406348322,1.406348322,1.406348322
1.296610137,1.296610137,1.296610137,1.296610137
1.420579487,1.420579487,1.420579487,1.420579487
1.641771728,1.641771728,1.641771728,1.641771728
1.804220458,1.804220458,1.804220458,1.804220458
1.930114312,1.930114312,1.930114312,1.930114312
2.160062445,2.160062445,2.160062445,2.160062445
2.533345332,2.533345332,2.533345332,2.533345332
2.868357471,2.868357471,2.868357471,2.868357471
2.562487056,2.562487056,2.562487056,2.562487056
2.081089575,2.081089575,2.081089575,2.081089575
2.184122088,2.184122088,2.184122088,2.184122088
2.271636866,2.271636866,2.271636866,2.271636866
2.290268043,2.290268043,2.290268043,2.290268043
2.289991204,2.289991204,2.289991204,2.289991204
2.264844263,2.264844263,2.264844263,2.264844263
2.305678786,2.305678786,2.305678786,2.305678786
2.459713997,2.459713997,2.459713997,2.459713997
2.037969452,2.037969452,2.037969452,2.037969452
1.92750774,1.92750774,1.92750774,1.92750774
1.744163631,1.744163631,1.744163631,1.744163631
1.680871657,1.680871657,1.680871657,1.680871657
1.663613979,1.663613979,1.663613979,1.663613979
1.618197558,1.618197558,1.618197558,1.618197558
1.453112832,1.453112832,1.453112832,1.453112832
1.296801384,1.296801384,1.296801384,1.296801384
1.436727132,1.436727132,1.436727132,1.436727132
1.652596561,1.652596561,1.652596561,1.652596561
1.833145526,1.833145526,1.833145526,1.833145526
1.943355809,1.943355809,1.943355809,1.943355809
2.131047772,2.131047772,2.131047772,2.131047772
2.508754745,2.508754745,2.508754745,2.508754745
2.938022107,2.938022107,2.938022107,2.938022107
2.572279424,2.572279424,2.572279424,2.572279424
2.243717516,2.243717516,2.243717516,2.243717516
2.257163633,2.257163633,2.257163633,2.257163633
2.228378992,2.228378992,2.228378992,2.228378992
2.205563121,2.205563121,2.205563121,2.205563121
2.196303034,2.196303034,2.196303034,2.196303034
2.197604314,2.197604314,2.197604314,2.197604314
2.205643365,2.205643365,2.205643365,2.205643365
2.427095059,2.427095059,2.427095059,2.427095059
2.01736295,2.01736295,2.01736295,2.01736295
1.656785266,1.656785266,1.656785266,1.656785266
1.504297416,1.504297416,1.504297416,1.504297416
1.480375524,1.480375524,1.480375524,1.480375524
1.50594508,1.50594508,1.50594508,1.50594508
1.525200819,1.525200819,1.525200819,1.525200819
1.480150842,1.480150842,1.480150842,1.480150842
1.423587277,1.423587277,1.423587277,1.423587277
1.507012317,1.507012317,1.507012317,1.507012317
1.541204025,1.541204025,1.541204025,1.541204025
1.59607713,1.59607713,1.59607713,1.59607713
1.515407113,1.515407113,1.515407113,1.515407113
1.676448909,1.676448909,1.676448909,1.676448909
2.012256796,2.012256796,2.012256796,2.012256796
